set_id,name,theme,reason,validation_status
10212,Imperial Shuttle,Star Wars,High collector demand UCS candidate,needs_research
10225,R2-D2,Star Wars,Retired character display candidate,needs_research
10227,B-wing Starfighter,Star Wars,UCS retired ship candidate,needs_research
10240,Red Five X-wing Starfighter,Star Wars,UCS retired ship candidate,needs_research
75060,Slave I,Star Wars,UCS retired ship candidate,needs_research
75144,Snowspeeder,Star Wars,UCS retired ship candidate,needs_research
75159,Death Star,Star Wars,Large retired Star Wars display candidate,needs_research
75275,A-wing Starfighter,Star Wars,UCS retired ship candidate,needs_research
75309,Republic Gunship,Star Wars,UCS retired prequel candidate,needs_research
10182,Cafe Corner,Modular Buildings,Iconic retired modular candidate,needs_research
10185,Green Grocer,Modular Buildings,Iconic retired modular candidate,needs_research
10197,Fire Brigade,Modular Buildings,Retired modular candidate,needs_research
10211,Grand Emporium,Modular Buildings,Retired modular candidate,needs_research
10218,Pet Shop,Modular Buildings,Retired modular candidate,needs_research
10224,Town Hall,Modular Buildings,Retired modular candidate,needs_research
10232,Palace Cinema,Modular Buildings,Retired modular candidate,needs_research
10246,Detective's Office,Modular Buildings,Retired modular candidate,needs_research
10251,Brick Bank,Modular Buildings,Retired modular candidate,needs_research
10255,Assembly Square,Modular Buildings,Large modular candidate,needs_research
10260,Downtown Diner,Modular Buildings,Retired modular candidate,needs_research
10264,Corner Garage,Modular Buildings,Retired modular candidate,needs_research
10270,Bookshop,Modular Buildings,Modular resale candidate,needs_research
10278,Police Station,Modular Buildings,Modular resale candidate,needs_research
10297,Boutique Hotel,Modular Buildings,Modular resale candidate,needs_research
10220,Volkswagen T1 Camper Van,Icons,Retired vehicle candidate,needs_research
10242,MINI Cooper,Icons,Retired vehicle candidate,needs_research
10248,Ferrari F40,Icons,Retired vehicle candidate,needs_research
10252,Volkswagen Beetle,Icons,Retired vehicle candidate,needs_research
10258,London Bus,Icons,Retired vehicle candidate,needs_research
10262,James Bond Aston Martin DB5,Icons,Retired vehicle candidate,needs_research
21310,Old Fishing Store,Ideas,Highly collected Ideas candidate,needs_research
21318,Tree House,Ideas,Large Ideas candidate,needs_research
21322,Pirates of Barracuda Bay,Ideas,Retired Ideas candidate,needs_research
21325,Medieval Blacksmith,Ideas,Retired Ideas candidate,needs_research
21327,Typewriter,Ideas,Retired Ideas candidate,needs_research
21330,Home Alone,Ideas,Large Ideas candidate,needs_research
42056,Porsche 911 GT3 RS,Technic,Retired Technic supercar candidate,needs_research
42083,Bugatti Chiron,Technic,Retired Technic supercar candidate,needs_research
42110,Land Rover Defender,Technic,Technic resale candidate,needs_research
42115,Lamborghini Sian FKP 37,Technic,Technic supercar candidate,needs_research
